%% Monthly totals of international airline passengers (in thousands) for 
%% 1949-1960.

@relation airline_passengers
@attribute answerTime numeric
@attribute avgSensorM numeric
@attribute avgSensorX numeric
@attribute avgSensorY numeric
@attribute avgSensorZ numeric
@attribute btnPressureListAvg numeric
@attribute btnPressureListNo numeric
@attribute btnPressureMax numeric
@attribute etDuration numeric
@attribute swipeButtonLieDuration numeric
@attribute class {truth, lie}



@data
6194,10.1031751633,0.3052325547,5.1037454605,8.4707727432,0.65000004,2,0.65000004,738,727,truth
5651,10.1076002121,0.2589238286,5.0998854637,8.4908151627,0.5,2,0.5,557,481,lie
5900,10.111120224,0.2426372319,5.0710434914,8.5059261322,0.6125,3,0.6125,629,386,lie
6542,10.114118576,0.2326747477,5.0672121048,8.5086078644,0.71250004,2,0.71250004,586,353,truth
9182,10.1219320297,0.2247404158,5.1397109032,8.4648733139,0.6625,2,0.6625,819,763,lie
6978,10.1331472397,0.3299911618,5.4298944473,8.3297986984,0.68593746,8,0.7625,348,605,lie
5576,10.1611318588,0.3435849845,5.5299925804,8.28282547,0.65000004,2,0.65000004,329,296,lie
10499,10.1674861908,0.2997480929,5.5743217468,8.2867097855,0.7589285,7,0.8,517,289,truth
8344,10.1710824966,0.5024799109,5.4732131958,8.3620319366,0.61875,4,0.77500004,738,299,lie
7182,10.0604200363,0.5653244853,5.1049852371,8.4940366745,0.584375,4,0.6125,425,322,truth
6982,10.0099630356,-0.007765674,4.8237872124,8.6361732483,0.58750004,2,0.58750004,1083,597,lie
7608,10.0064821243,0.0289183762,4.8420372009,8.6249065399,0.54583335,3,0.6125,359,562,lie
10187,10.0073766708,0.0772009417,4.8269529343,8.6475124359,0.575,2,0.575,674,583,lie
7260,9.9955482483,0.0998290777,4.7839055061,8.6555356979,0.58750004,2,0.58750004,721,612,lie
7627,9.9956798553,0.0496488623,4.7960772514,8.6548213959,0.6,2,0.6,756,655,lie
7102,10.002825737,0.0781969279,4.8098216057,8.6502914429,0.4625,3,0.5625,360,527,truth
7691,9.994342804,0.0406639129,4.8368487358,8.6198720932,0.55,2,0.55,465,609,truth
7109,9.9922733307,-0.0029156897,4.7983169556,8.6280059814,0.6125,2,0.6125,341,542,truth
9636,9.9818162918,0.042283278,4.841108799,8.5952253342,0.6375,2,0.6375,456,707,truth
10090,9.9869384766,0.1390953362,4.9023590088,8.5202512741,0.6125,2,0.6125,1569,398,truth
8389,10.0942201614,-1.3020623922,8.1865472794,5.5697202682,0.57500005,4,0.71250004,534,215,lie
13135,10.0966005325,-1.3461116552,8.1616926193,5.6031804085,0.6625,2,0.6625,870,165,truth
13700,10.0969047546,-1.2920559645,8.1264629364,5.6821641922,0.71250004,2,0.71250004,724,155,lie
16291,10.093875885,-1.3681414127,8.103269577,5.6753845215,0.55,2,0.55,1495,147,lie
10789,10.0971240997,-1.4973870516,8.0133066177,5.7676301003,0.65000004,2,0.65000004,807,143,truth
10826,10.0867805481,-1.5814301968,7.9348626137,5.8287200928,0.6875,2,0.6875,417,146,truth
7509,10.0821399689,-1.657874465,7.8559980392,5.9186062813,0.625,2,0.625,853,165,lie
15244,10.086022377,-1.6746622324,7.8158135414,5.9695982933,0.675,2,0.675,408,159,truth
8035,10.0889539719,-1.5612472296,7.7296271324,6.0747232437,0.7375,2,0.7375,1600,236,lie
13192,10.124379158,-1.5041790009,7.6416020393,6.1651535034,0.6041667,3,0.7375,641,311,truth
4244,10.0717096329,-0.2241981924,6.2112512589,7.7173724174,0.7,2,0.7,739,632,lie
6312,10.0736722946,-0.1833520234,6.2561964989,7.683754921,0.625,2,0.625,407,427,truth
5492,10.07787323,-0.1561930031,6.2841339111,7.6659002304,0.6125,2,0.6125,313,417,truth
6039,10.0763540268,-0.1418300271,6.3237829208,7.6334195137,0.5375,4,0.625,2384,498,truth
8714,10.0835857391,-0.091034092,6.4175667763,7.577000618,0.625,2,0.625,539,632,lie
11674,10.0829877853,-0.0496729724,6.4588561058,7.5562591553,0.5125,5,0.6125,1004,518,lie
11125,10.0761966705,-0.0435706005,6.4557642937,7.529718399,0.51875,4,0.6375,850,452,lie
10603,10.0875816345,-0.0053830864,6.5146608353,7.4821548462,0.625,2,0.625,1252,859,lie
10956,10.0821676254,0.0825283974,6.5927906036,7.3979153633,0.4375,2,0.4375,384,591,truth
10422,10.0646524429,0.0382556096,6.4796290398,7.5189366341,0.65625,4,0.7,1726,568,lie
7194,10.0807514191,0.8361679912,6.4496331215,7.6433758736,0.621875,4,0.6625,1735,272,lie
10740,10.0842142105,0.8504415751,6.4663925171,7.6320319176,0.5625,2,0.5625,3369,288,truth
25753,10.0848646164,0.8704463243,6.4876613617,7.6113414764,0.58750004,2,0.58750004,1016,499,lie
10999,10.0799226761,0.9432700872,6.4673442841,7.6126418114,0.6375,2,0.6375,444,284,truth
22897,10.082359314,0.9653517604,6.4815034866,7.598115921,0.6125,2,0.6125,664,274,lie
10630,10.0703029633,1.030449152,6.4547696114,7.5848259926,0.57916665,3,0.6125,1601,275,lie
10889,10.0738105774,1.0350338221,6.4522538185,7.5886793137,0.64,5,0.6625,771,316,lie
9139,10.0774593353,1.0676027536,6.4693570137,7.5686049461,0.609375,4,0.6125,499,437,truth
31343,10.0700464249,1.0854260921,6.488296032,7.5388245583,0.6,2,0.6,1573,4642,truth
15590,10.0992269516,1.1955246925,6.6276445389,7.4455776215,0.625,2,0.625,1303,1119,truth
